Flight,Image,PassFail,X,Y
SQB772,000175.png,0,,
SQB772,000176.png,0,,
SQB772,000177.png,0,,
SQB772,000178-1.png,0,,
SQB772,000179.png,0,,
SQB772,000180.png,0,,
SQB772,000181.png,0,,
SQB772,000182.png,0,,
SQB772,000183.png,0,,
SQB772,000184.png,0,,
SQB772,000185.png,0,,
SQB772,000186.png,0,,
SQB772,000187.png,0,,
SQB772,000188.png,0,,
SQB772Rain,000141.png,0,,
SQB772Rain,000142.png,0,,
SQB772Rain,000143.png,0,,
SQB772Rain,000144.png,0,,
SQB772Rain,000145.png,0,,
SQB772Rain,000146.png,0,,
SQB772Rain,000147.png,0,,
SQB772Rain,000148.png,0,,
SQB772Rain,000149.png,0,,
SQB772Rain,000150.png,0,,
SQB772Rain,000151.png,0,,
SQB772Rain,000152.png,0,,
SQB772Rain,000153.png,0,,
SQB772Rain,000154.png,0,,
SQB772Rain,000155.png,0,,
SQB772Rain,000156.png,0,,
SQB772Rain,000157.png,0,,
SQB772Rain,000158.png,0,,
SQB772Rain,000159.png,0,,
SQB772Rain,000160.png,0,,
SQB772Rain,000161.png,0,,
SQB772Rain,000162.png,0,,
SQB772Rain,000163.png,0,,
SQB772Rain,000164.png,0,,
SQB772Rain,000165.png,0,,
SQB772Rain,000166.png,0,,
SQB772Rain,000167.png,0,,
SQB772Rain,000168.png,0,,
SQB772Rain,000169.png,0,,
SQB772Rain,000170.png,0,,
SQB772Rain,000171.png,0,,
SQB772Rain,000172.png,0,,
SQB772Rain,000173.png,0,,
SQB772Rain,000174.png,0,,
SQB772Rain,000175.png,0,,
SQB772Rain,000176.png,0,,
SQB772Rain,000177.png,0,,
SQB772Rain,000178.png,0,,
SQB772Rain,000179.png,0,,
SQB772Rain,000180.png,0,,
SQB772Rain,000181.png,0,,
SQB772Rain,000182.png,0,,
TigerAirA320,000140.png,0,,
TigerAirA320,000141.png,0,,
TigerAirA320,000142.png,0,,
TigerAirA320,000143.png,0,,
TigerAirA320,000144.png,0,,
TigerAirA320,000145.png,0,,
TigerAirA320,000146.png,0,,
TigerAirA320,000147.png,0,,
TigerAirA320,000148.png,0,,
TigerAirA320,000149.png,0,,
TigerAirA320,000150.png,0,,
TigerAirA320,000151.png,0,,
TigerAirA320,000152.png,0,,
TigerAirA320,000153.png,0,,
TigerAirA320,000154.png,0,,
TigerAirA320,000155.png,0,,
TigerAirA320,000156.png,0,,
TigerAirA320,000157.png,0,,
TigerAirA320,000158.png,0,,
TigerAirA320,000159.png,0,,
TigerAirA320,000160.png,0,,
TigerAirA320,000161.png,0,,
TigerAirA320,000162.png,0,,
TigerAirA320,000163.png,0,,
TigerAirA320,000164.png,0,,
TigerAirA320,000165.png,0,,
TigerAirA320,000166.png,0,,
TigerAirA320,000167.png,0,,
TigerAirA320,000168.png,0,,
TigerAirA320,000169.png,0,,
TigerAirA320,000170.png,0,,
TigerAirA320,000171.png,0,,
TigerAirA320,000172.png,0,,
TigerAirA320,000173.png,0,,
TigerAirA320,000174.png,0,,
TigerAirA320,000175.png,0,,
TigerAirA320,000176.png,0,,
TigerAirA320,000177.png,0,,
TigerAirA320,000178.png,0,,
TigerAirA320,000179.png,0,,
TigerAirA320,000180.png,0,,
TigerAirA320,000181.png,0,,
TigerAirA320,000182.png,0,,
TigerAirA320,000183.png,0,,
TigerAirA320,000184.png,0,,
TigerAirA320,000185.png,0,,
TigerAirA320,000186.png,0,,
TigerAirA320,000187.png,0,,
TigerAirA320,000188.png,0,,
TigerAirA320,000189.png,0,,
TigerAirA320,000190.png,0,,
TigerAirA320,000191.png,0,,
TigerAirA320,000192.png,0,,
TigerAirA320,000193.png,0,,
TigerAirA320,000194.png,0,,
TigerAirA320,000195.png,0,,
TigerAirA320,000196.png,0,,
TigerAirA320,000197.png,0,,
TigerAirA320,000198.png,0,,
TigerAirA320,000199.png,0,,
TigerAirA320,000200.png,0,,
TigerAirA320,000201.png,0,,
TigerAirA320,000202.png,0,,
TigerAirA320,000203.png,0,,
TigerAirA320,000204.png,0,,
TigerAirA320,000205.png,0,,
TigerAirA320,000206.png,0,,
TigerAirA320,000207.png,0,,
TigerAirA320,000208.png,0,,
TigerAirA320,000209.png,0,,
TigerAirA320,000210.png,0,,
TigerAirA320,000211.png,0,,
TigerAirA320,000212.png,0,,
TigerAirA320,000213.png,0,,
TigerAirA320Rain,000120.png,0,,
TigerAirA320Rain,000121.png,0,,
TigerAirA320Rain,000122.png,0,,
TigerAirA320Rain,000123.png,0,,
TigerAirA320Rain,000124.png,0,,
TigerAirA320Rain,000125.png,0,,
TigerAirA320Rain,000126.png,0,,
TigerAirA320Rain,000127.png,0,,
TigerAirA320Rain,000128.png,0,,
TigerAirA320Rain,000129.png,0,,
TigerAirA320Rain,000130.png,0,,
TigerAirA320Rain,000131.png,0,,
TigerAirA320Rain,000132.png,0,,
TigerAirA320Rain,000133.png,0,,
TigerAirA320Rain,000134.png,0,,
TigerAirA320Rain,000135.png,0,,
TigerAirA320Rain,000136.png,0,,
TigerAirA320Rain,000137.png,0,,
TigerAirA320Rain,000138.png,0,,
TigerAirA320Rain,000139.png,0,,
TigerAirA320Rain,000140.png,0,,
TigerAirA320Rain,000141.png,0,,
TigerAirA320Rain,000142.png,0,,
TigerAirA320Rain,000143.png,0,,
TigerAirA320Rain,000144.png,0,,
TigerAirA320Rain,000145.png,0,,
TigerAirA320Rain,000146.png,0,,
TigerAirA320Rain,000147.png,0,,
TigerAirA320Rain,000148.png,0,,
TigerAirA320Rain,000149.png,0,,
TigerAirA320Rain,000150.png,0,,
TigerAirA320Rain,000151.png,0,,
TigerAirA320Rain,000152.png,0,,
TigerAirA320Rain,000153.png,0,,
TigerAirA320Rain,000154.png,0,,
TigerAirA320Rain,000155.png,0,,
TigerAirA320Rain,000156.png,0,,
TigerAirA320Rain,000157.png,0,,
ScootB787PBB,000164-2.png,1,566.26691,26.91292
ScootB787PBB,000165.png,1,475.37064,41.083942
ScootB787PBB,000166.png,0,,
ScootB787PBB,000167.png,0,,
ScootB787PBB,000168-2.png,0,,
ScootB787PBB,000169.png,0,,
ScootB787PBB,000170.png,0,,
ScootB787PBB,000171.png,0,,
ScootB787PBB,000172-2.png,0,,
ScootB787PBB,000173.png,0,,
ScootB787PBB,000174.png,1,1380.5103,35.144939
ScootB787PBB,000175.png,1,1353.9382,53.748039
ScootB787PBB,000176-2.png,1,1331.8044,84.285454
ScootB787PBB,000177.png,1,1321.1503,100.44604
ScootB787PBB,000178.png,0,,
ScootB787PBB,000179.png,0,,
ScootB787PBB,000180-2.png,1,1311.0653,138.30661
ScootB787PBB,000181.png,1,1313.6371,154.6971
ScootB787PBB,000182.png,1,1362.8137,180.52905
ScootB787PBB,000183-2.png,1,1370.1223,196.43726
ScootB787PBB,000184.png,1,1370.079,211.29845
ScootB787PBB,000185.png,1,1370.5027,225.63881
ScootB787PBB,000186-2.png,1,1371.0408,240.85689
ScootB787PBB,000187.png,1,1369.2167,253.33562
ScootB787PBB,000188.png,1,1369.9937,268.32452
ScootB787PBB,000189-2.png,1,1370.2483,281.54593
ScootB787PBB,000190.png,1,1370.9222,295.61172
ScootB787PBB,000191.png,1,1370.9204,309.07492
ScootB787PBB,000192.png,1,1371.235,322.39249
ScootB787PBB,000193.png,1,1372.3014,335.83347
ScootB787PBB,000194.png,1,1372.7761,349.04105
ScootB787PBB,000195.png,1,1353.5496,355.39261
ScootB787PBB,000196.png,1,1316.3616,367.27646
ScootB787PBB,000197.png,1,1269.3829,383.1875
ScootB787PBB,000198.png,1,1229.9434,395.28491
ScootB787PBB,000199.png,1,1181.8762,412.20953
ScootB787PBB,000200.png,1,1138.7943,425.96124
ScootB787PBB,000201.png,1,1152.4987,421.32407
ScootB787PBB,000202.png,1,1147.3773,422.49371
ScootB787PBB,000203.png,1,1139.4791,423.88242
ScootB787PBB,000204.png,1,1120.8855,429.9805
ScootB787PBB,000205.png,1,1119.3428,430.50854
ScootB787PBB,000206.png,1,1122.0789,430.57083
ScootB787PBB,000207.png,1,1093.0487,450.15442
ScootB787PBB,000208.png,1,1764.3718,154.85225
ScootB787PBB,000209.png,1,1070.4077,472.24835
ScootB787PBB,000210.png,1,1074.4476,484.68457
ScootB787PBB,000211.png,1,1075.077,498.05688
ScootB787PBB,000212.png,1,1121.1395,502.7771
ScootB787PBB,000213.png,1,1114.6248,501.41617
ScootB787PBB,000214.png,1,1113.9165,501.57446
ScootB787PBB,000215.png,1,1115.0984,501.76416
ScootB787PBB,000216.png,1,1141.806,505.68289
ScootB787PBB,000217.png,1,1132.2207,510.52505
ScootB787PBB,000218.png,1,1123.5996,515.61102
ScootB787PBB,000219.png,1,1121.7828,530.99506
ScootB787PBB,000220.png,1,1122.5172,532.47083
ScootB787PBB,000221.png,1,1115.7007,540.099
ScootB787PBB,000222.png,1,1114.8579,541.67004
ScootB787PBB,000223.png,1,1114.4254,541.72363
ScootB787PBB,000224.png,1,1114.1267,541.72528
ScootB787PBB,000225.png,1,1113.5178,541.45728
ScootB787PBB,000226.png,1,1114.4955,540.57062
ScootB787PBB,000227-2.png,1,1114.1937,540.67877
ScootB787PBB,000228.png,1,1114.1228,540.64722
B787,000125.png,0,,
B787,000126.png,0,,
B787,000127.png,0,,
B787,000128.png,0,,
B787,000129.png,0,,
B787,000130.png,0,,
B787,000131.png,1,1511.6305,34.424133
B787,000132.png,1,1453.1948,50.951328
B787,000133.png,1,1389.0216,66.150246
B787,000134.png,1,1318.2324,75.339699
B787,000135.png,1,1245.9047,86.032059
B787,000136.png,1,1222.2097,87.118324
B787,000137.png,0,,
B787,000138.png,1,1369.1621,671.5481
B787,000139.png,1,1377.6948,673.90485
B787,000140.png,1,1132.8143,105.70309
B787,000141.png,1,1122.0159,134.97275
B787,000142.png,1,1107.8193,171.86935
B787,000143.png,1,1090.9634,224.09714
B787,000144.png,1,1088.1609,253.27466
B787,000145.png,1,1091.4943,274.3129
B787,000146.png,1,1096.6244,319.46149
B787,000147.png,1,1100.9846,373.58838
B787,000148.png,1,1125.5155,441.9411
B787,000149.png,1,1070.9799,424.0343
B787,000150.png,1,1060.0828,428.14532
B787,000151.png,1,1066.1903,453.41794
B787,000152.png,1,1067.8815,486.54156
B787,000153.png,1,1069.8619,492.08163
B787,000154.png,1,1074.5481,484.85489
B787,000155.png,1,1069.6716,479.28561
B787,000156.png,1,1066.8877,478.98093
B787,000157.png,1,1093.7632,514.59564
B787,000158.png,1,1093.6705,519.37854
B787,000159.png,1,1093.9229,514.70587
B787,000160.png,1,1081.8995,508.5589
B787,000161.png,1,1075.6467,494.09351
B787,000162.png,1,1065.1287,473.8056
B787,000163.png,1,1064.8879,473.44525
B787,000164.png,1,1058.4703,469.85138
B787,000165.png,1,1088.0988,495.22726
B787,000166.png,1,1130.7916,534.99353
B787,000167.png,1,1113.877,526.81256
B787,000168.png,1,1130.0311,530.96692
B787,000169.png,1,1123.7021,513.56635
B787,000170.png,1,1117.5989,505.7561
B787,000171.png,1,1140.9734,526.09094
B787,000172.png,1,1137.718,526.32056
B787,000173.png,1,1136.2322,526.05011
B787,000174.png,1,1136.027,525.99402
B787,000175.png,1,1136.176,526.51141
B787,000176.png,1,1136.4015,526.38202
B787,000177.png,1,1135.7628,525.901
ScootB787,000165.png,0,,
ScootB787,000166.png,1,1691.4855,214.79945
ScootB787,000167.png,1,1631.6119,231.86218
ScootB787,000168.png,1,1587.1735,250.81937
ScootB787,000169.png,1,1511.7891,270.57462
ScootB787,000170.png,1,1438.2189,293.01587
ScootB787,000171.png,1,1364.343,311.3624
ScootB787,000172.png,1,1300.9054,322.26147
ScootB787,000173.png,1,1315.6333,322.64148
ScootB787,000174.png,1,1316.6807,321.37979
ScootB787,000175.png,1,1289.3528,328.92368
ScootB787,000176.png,1,1808.7318,107.02267
ScootB787,000177.png,1,1269.4261,369.7348
ScootB787,000178.png,1,1232.4366,386.85046
ScootB787,000179.png,1,1219.4321,410.56122
ScootB787,000180.png,1,1206.417,435.40277
ScootB787,000181.png,1,1236.0815,441.62387
ScootB787,000182.png,1,1226.6372,442.33832
ScootB787,000183.png,1,1228.3956,441.61084
ScootB787,000184.png,1,1230.7643,442.09363
ScootB787,000185.png,1,1852.9475,188.18594
ScootB787,000186.png,1,1191.2186,475.1835
ScootB787,000187.png,1,1177.4133,469.93332
ScootB787,000188.png,1,1196.6381,440.49573
ScootB787,000189.png,1,1207.7365,434.88962
ScootB787,000190.png,1,1203.6097,438.09195
ScootB787,000191.png,1,1190.7433,469.01459
ScootB787,000192.png,1,1185.6472,494.36588
ScootB787,000193.png,1,1180.4146,493.05319
ScootB787,000194.png,1,1178.3057,512.31854
ScootB787,000195.png,1,1176.8115,512.07867
ScootB787,000196.png,1,1176.2042,512.05573
ScootB787,000197.png,1,1176.2794,512.25909
ScootB787,000198.png,1,1177.3809,505.02988
ScootB787,000199.png,1,1179.5092,504.07349
ScootB787,000200.png,1,1171.9775,511.01605
ScootB787,000201.png,1,1174.9026,509.57462
ScootB787,000202.png,1,1176.2887,510.86426
ScootB787,000203.png,1,1164.65,509.39456
ScootB787,000204.png,1,1851.0989,210.17972
ScootB787,000205.png,1,1166.5186,508.60062
ScootB787,000206.png,1,1167.1385,509.05759
ScootB787,000207.png,1,1848.5908,207.72742
ScootB787,000208.png,1,1849.0184,207.88855
ScootB787,000209.png,1,1200.7448,444.73401
ScootB787,000210.png,1,1167.6062,508.28528
ScootB787,000211.png,1,1118.5966,506.26257
