Flight,Image,PassFail,X,Y
MASB737,000232.png,1,1593.6,76.6103
MASB737,000233.png,0,,
MASB737,000234.png,0,,
MASB737,000235.png,0,,
MASB737,000236.png,0,,
MASB737,000237.png,0,,
MASB737,000238.png,0,,
MASB737,000239.png,0,,
MASB737,000240.png,0,,
MASB737,000241.png,0,,
MASB737,000242.png,0,,
ScootB787,000165.png,1,411.815,131.154
ScootB787,000166.png,1,1860.29,133.108
ScootB787,000167.png,1,1814.72,142.595
ScootB787,000168.png,1,1784.79,153.883
ScootB787,000169.png,1,1728.83,163.976
ScootB787,000170.png,1,1673.04,116.575
ScootB787,000171.png,1,1608.25,193.818
ScootB787,000172.png,1,1566.93,190.547
ScootB787,000173.png,1,1580.7,184.595
ScootB787,000174.png,1,152.095,290.95
ScootB787,000175.png,1,1560.21,193.035
ScootB787,000176.png,1,1536.83,194.738
ScootB787,000177.png,1,1561.95,219.501
ScootB787,000178.png,1,1531.86,228.622
ScootB787,000179.png,1,1529.69,248.934
ScootB787,000180.png,1,1529.79,270.163
ScootB787,000181.png,1,1556.2,284.076
ScootB787,000182.png,1,1548.11,279.035
ScootB787,000183.png,1,1550.58,271.787
ScootB787,000184.png,1,1552.11,272.636
ScootB787,000185.png,1,1543.99,295.24
ScootB787,000186.png,1,1526.17,296.681
ScootB787,000187.png,1,1510.55,296.011
ScootB787,000188.png,1,1518.8,274.105
ScootB787,000189.png,1,1528.99,272.779
ScootB787,000190.png,1,1527.53,273.523
ScootB787,000191.png,1,1525.14,299.068
ScootB787,000192.png,1,1528.62,289.818
ScootB787,000193.png,1,1521.86,287.594
ScootB787,000194.png,1,1527.47,301.286
ScootB787,000195.png,1,1528.7,298.184
ScootB787,000196.png,1,1528.36,293.917
ScootB787,000197.png,1,1528.72,296.849
ScootB787,000198.png,1,1525.24,289.45
ScootB787,000199.png,1,1527.91,288.347
ScootB787,000200.png,1,1522.5,296.7
ScootB787,000201.png,1,1523.76,298.931
ScootB787,000202.png,1,1524.45,299.809
ScootB787,000203.png,1,1514.97,296.315
ScootB787,000204.png,1,1524.43,299.005
ScootB787,000205.png,1,1514.91,296.67
ScootB787,000206.png,1,1516.13,297.524
ScootB787,000207.png,1,1517.55,297.544
ScootB787,000208.png,1,1517.35,297.282
ScootB787,000209.png,1,1516.68,296.893
ScootB787,000210.png,1,1871.21,189.697
ScootB787,000211.png,1,1505.1,323.385
ScootB787PBB,000164-2.png,0,,
ScootB787PBB,000165.png,0,,
ScootB787PBB,000166.png,0,,
ScootB787PBB,000167.png,0,,
ScootB787PBB,000168-2.png,0,,
ScootB787PBB,000169.png,0,,
ScootB787PBB,000170.png,1,77.988,181.681
ScootB787PBB,000171.png,0,,
ScootB787PBB,000172-2.png,0,,
ScootB787PBB,000173.png,0,,
ScootB787PBB,000174.png,0,,
ScootB787PBB,000175.png,0,,
ScootB787PBB,000176-2.png,0,,
ScootB787PBB,000177.png,0,,
ScootB787PBB,000178.png,0,,
ScootB787PBB,000179.png,0,,
ScootB787PBB,000180-2.png,0,,
ScootB787PBB,000181.png,0,,
ScootB787PBB,000182.png,0,,
ScootB787PBB,000183-2.png,1,63.6476,205.26
ScootB787PBB,000184.png,1,70.4217,215.141
ScootB787PBB,000185.png,1,77.138,224.899
ScootB787PBB,000186-2.png,1,363.122,154.299
ScootB787PBB,000187.png,1,368.239,168.837
ScootB787PBB,000188.png,1,1652.61,146.911
ScootB787PBB,000189-2.png,1,1658.18,151.834
ScootB787PBB,000190.png,1,1648.62,159.814
ScootB787PBB,000191.png,1,1647.92,174.283
ScootB787PBB,000192.png,1,1646.07,187.945
ScootB787PBB,000193.png,1,1643.44,197.137
ScootB787PBB,000194.png,1,1642.02,215.105
ScootB787PBB,000195.png,1,1627.11,214.198
ScootB787PBB,000196.png,1,1598.96,218.984
ScootB787PBB,000197.png,1,1563.16,226.402
ScootB787PBB,000198.png,1,1533.68,233.517
ScootB787PBB,000199.png,1,1495.3,244.72
ScootB787PBB,000200.png,1,1462.55,249.766
ScootB787PBB,000201.png,1,1472.34,249.237
ScootB787PBB,000202.png,1,1469.5,252.232
ScootB787PBB,000203.png,1,1463.64,250.541
ScootB787PBB,000204.png,1,1444.75,254.98
ScootB787PBB,000205.png,1,1444.94,254.782
ScootB787PBB,000206.png,1,1449.08,254.492
ScootB787PBB,000207.png,1,1427.73,267.878
ScootB787PBB,000208.png,1,1407.25,276.889
ScootB787PBB,000209.png,1,1406.88,286.766
ScootB787PBB,000210.png,1,1408.01,300.632
ScootB787PBB,000211.png,1,1408.3,317.065
ScootB787PBB,000212.png,1,1454.1,325.57
ScootB787PBB,000213.png,1,1449.17,324.191
ScootB787PBB,000214.png,1,1449.3,324.196
ScootB787PBB,000215.png,1,1450.87,324.203
ScootB787PBB,000216.png,1,1478.53,331.777
ScootB787PBB,000217.png,1,1471.86,334.441
ScootB787PBB,000218.png,1,1461.44,338.455
