"[1253, 347; 74]	SilkAirB737"
"[1127, 64; 36]	TigerAirA320Rain"
"[1074, 59;35]	TigerAirA320Rain"
"[1064, 58; 36]	TigerAirA320Rain"
"[1064, 61; 37]	TigerAirA320Rain"
"[1078, 69; 36]	TigerAirA320Rain"
"[1100, 98; 39]	TigerAirA320Rain"
"[1138,  139; 44]	TigerAirA320Rain"
"1175,  186; 45]	TigerAirA320Rain"
"[1216, 233; 57]	TigerAirA320Rain"
"[1258, 291; 59]	TigerAirA320Rain"
"[1264, 323; 56]	TigerAirA320Rain"
"[1285, 337; 61]	TigerAirA320Rain"
"[1291, 321; 61 ]	TigerAirA320Rain"
"[1220, 307; 56 ]	TigerAirA320Rain"
"[1230, 308; 57]	TigerAirA320Rain"
"[1233, 310; 56 ]	TigerAirA320Rain"
"[1219, 311; 58]	TigerAirA320Rain"
"[1236, 340; 66]	TigerAirA320Rain"
"[1248, 372; 70]	TigerAirA320Rain"
"[1239, 375; 56]	TigerAirA320Rain"
"[1249, 364; 68]	TigerAirA320Rain"
"[1251, 359; 70]	TigerAirA320Rain"
"[1243, 376; 62]	TigerAirA320Rain"
"[1254, 398; 72]	TigerAirA320Rain"
"[1254, 399; 73]	TigerAirA320Rain"
"[1253, 397; 72]	TigerAirA320Rain"
"[1251, 397; 67]	TigerAirA320Rain"
"[1249, 388; 59]	TigerAirA320Rain"
"[1246, 385; 71]	TigerAirA320Rain"
"[1251, 382; 59]	TigerAirA320Rain"
"[1251, 397;  75]	TigerAirA320Rain"
"[1249, 398; 70]	TigerAirA320Rain"
"[1250, 398; 60]	TigerAirA320Rain"
"[1252, 400; 76]	TigerAirA320Rain"
"[1250, 390; 74]	TigerAirA320Rain"
"[1249, 397; 56]	TigerAirA320Rain"
"[1248, 393; 56 ]	TigerAirA320Rain"
"[1250, 396; 73 ]	TigerAirA320Rain"
